location_id,time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),weather_code (wmo code),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h)
0,2024-01-01T00:00,4.5,86,1.3,0.00,0.00,0.00,3,992.9,91,9.6
0,2024-01-01T01:00,3.5,92,0.9,0.00,0.00,0.00,3,992.6,91,5.8
0,2024-01-01T02:00,4.1,89,1.2,0.10,0.10,0.00,51,993.0,94,8.1
0,2024-01-01T03:00,4.4,87,1.3,0.20,0.20,0.00,51,992.5,100,9.2
0,2024-01-01T04:00,4.2,85,0.8,0.00,0.00,0.00,3,992.6,93,10.7
0,2024-01-01T05:00,4.4,87,1.3,0.50,0.50,0.00,53,992.5,90,9.7
0,2024-01-01T06:00,4.2,89,1.0,0.70,0.70,0.00,53,992.3,100,10.2
0,2024-01-01T07:00,4.0,90,0.7,0.20,0.20,0.00,51,992.5,100,10.8
0,2024-01-01T08:00,4.1,91,0.9,0.10,0.10,0.00,51,993.1,100,11.0
0,2024-01-01T09:00,4.6,92,1.7,0.10,0.10,0.00,51,992.9,100,9.5
0,2024-01-01T10:00,5.8,89,2.8,0.00,0.00,0.00,3,992.8,100,11.0
0,2024-01-01T11:00,6.9,84,3.7,0.00,0.00,0.00,3,992.9,100,12.4
0,2024-01-01T12:00,7.3,82,4.1,0.30,0.30,0.00,51,992.7,80,12.6
0,2024-01-01T13:00,7.6,79,4.2,0.00,0.00,0.00,1,992.3,23,13.4
0,2024-01-01T14:00,6.8,78,3.3,0.00,0.00,0.00,1,992.5,22,13.4
0,2024-01-01T15:00,5.2,84,2.0,0.00,0.00,0.00,2,992.7,57,10.3
0,2024-01-01T16:00,4.1,87,0.9,0.00,0.00,0.00,1,993.0,29,9.7
0,2024-01-01T17:00,3.5,87,0.0,0.00,0.00,0.00,0,993.2,15,10.8
0,2024-01-01T18:00,3.2,87,-0.4,0.00,0.00,0.00,1,993.7,25,11.1
0,2024-01-01T19:00,2.8,88,-0.7,0.00,0.00,0.00,2,993.9,59,10.7
0,2024-01-01T20:00,3.0,88,-0.6,0.00,0.00,0.00,2,994.3,67,11.1
0,2024-01-01T21:00,3.0,87,-0.6,0.00,0.00,0.00,2,994.5,72,11.0
0,2024-01-01T22:00,3.2,86,-0.4,0.00,0.00,0.00,3,994.7,100,10.8
0,2024-01-01T23:00,3.2,86,-0.4,0.00,0.00,0.00,3,994.8,100,11.4
0,2024-01-02T00:00,4.2,82,0.6,0.00,0.00,0.00,3,994.8,100,11.6
0,2024-01-02T01:00,4.0,88,0.3,1.10,1.00,0.07,71,994.9,100,13.3
0,2024-01-02T02:00,4.4,87,0.4,0.30,0.30,0.00,51,994.7,33,15.1
0,2024-01-02T03:00,3.7,88,0.3,0.00,0.00,0.00,0,994.6,19,11.3
0,2024-01-02T04:00,2.3,91,-0.9,0.00,0.00,0.00,0,994.4,16,8.1
0,2024-01-02T05:00,1.8,90,-1.4,0.00,0.00,0.00,1,993.9,30,7.7
0,2024-01-02T06:00,1.4,90,-2.0,0.00,0.00,0.00,1,993.7,36,8.5
0,2024-01-02T07:00,1.8,91,-1.5,0.00,0.00,0.00,2,993.2,56,8.3
0,2024-01-02T08:00,3.0,90,-0.5,0.00,0.00,0.00,3,993.0,91,11.3
0,2024-01-02T09:00,4.2,87,0.5,0.00,0.00,0.00,3,992.6,100,13.0
0,2024-01-02T10:00,4.9,83,1.3,0.00,0.00,0.00,3,991.9,100,13.0
0,2024-01-02T11:00,5.5,80,1.6,0.10,0.10,0.00,51,991.0,100,15.1
0,2024-01-02T12:00,5.4,81,1.3,0.20,0.20,0.00,51,989.8,100,16.7
0,2024-01-02T13:00,5.6,86,1.8,0.40,0.40,0.00,51,988.1,100,15.2
0,2024-01-02T14:00,5.5,84,1.4,0.20,0.20,0.00,51,987.1,100,17.3
0,2024-01-02T15:00,5.1,84,1.1,0.10,0.10,0.00,51,986.5,100,16.2
0,2024-01-02T16:00,4.7,88,1.3,0.20,0.20,0.00,51,985.8,100,12.0
0,2024-01-02T17:00,4.6,90,1.4,0.10,0.10,0.00,51,985.3,100,10.6
0,2024-01-02T18:00,4.6,92,1.9,0.60,0.60,0.00,53,984.4,100,7.9
0,2024-01-02T19:00,4.8,92,2.0,0.90,0.90,0.00,53,983.5,100,8.7
0,2024-01-02T20:00,5.0,92,2.2,0.60,0.60,0.00,53,982.9,100,9.5
0,2024-01-02T21:00,5.2,93,2.3,0.70,0.70,0.00,53,982.2,100,10.3
0,2024-01-02T22:00,5.6,92,3.0,1.00,1.00,0.00,55,981.6,100,8.9
0,2024-01-02T23:00,6.1,90,3.3,1.00,1.00,0.00,55,980.8,100,9.7
0,2024-01-03T00:00,6.5,90,3.6,1.10,1.10,0.00,55,980.2,100,11.6
0,2024-01-03T01:00,7.0,89,4.0,1.60,1.60,0.00,61,978.8,100,12.5
0,2024-01-03T02:00,7.2,89,4.0,1.00,1.00,0.00,55,978.4,100,13.8
0,2024-01-03T03:00,7.3,88,4.1,0.90,0.90,0.00,53,978.1,100,14.2
0,2024-01-03T04:00,7.7,84,4.1,0.10,0.10,0.00,51,978.1,100,16.5
0,2024-01-03T05:00,8.1,84,4.4,0.00,0.00,0.00,1,978.4,41,17.3
0,2024-01-03T06:00,8.0,84,4.3,0.20,0.20,0.00,51,978.9,50,17.8
0,2024-01-03T07:00,8.4,81,4.4,0.00,0.00,0.00,2,979.5,53,19.7
0,2024-01-03T08:00,8.4,81,4.7,0.00,0.00,0.00,2,980.1,60,17.4
0,2024-01-03T09:00,9.3,78,5.6,0.00,0.00,0.00,1,980.4,35,17.8
0,2024-01-03T10:00,10.1,75,6.1,0.00,0.00,0.00,2,981.1,66,20.7
0,2024-01-03T11:00,9.8,78,6.3,0.70,0.70,0.00,53,981.0,54,17.2
0,2024-01-03T12:00,10.1,78,6.7,0.30,0.30,0.00,51,980.9,82,17.2
0,2024-01-03T13:00,10.7,71,6.7,0.00,0.00,0.00,2,980.2,70,19.7
0,2024-01-03T14:00,10.1,70,5.9,0.00,0.00,0.00,0,980.1,16,20.1
0,2024-01-03T15:00,9.1,71,4.8,0.00,0.00,0.00,3,980.1,97,19.9
0,2024-01-03T16:00,8.7,73,4.1,0.00,0.00,0.00,3,980.1,100,21.9
0,2024-01-03T17:00,8.3,79,4.5,0.20,0.20,0.00,51,980.1,33,17.5
0,2024-01-03T18:00,7.7,81,4.3,0.00,0.00,0.00,1,980.0,35,14.7
0,2024-01-03T19:00,7.2,83,3.7,0.00,0.00,0.00,1,980.0,24,14.7
0,2024-01-03T20:00,6.9,83,3.3,0.00,0.00,0.00,0,979.8,19,15.3
0,2024-01-03T21:00,6.9,83,3.0,0.10,0.10,0.00,51,979.7,57,17.3
0,2024-01-03T22:00,7.2,85,3.8,1.40,1.40,0.00,61,979.7,92,14.3
0,2024-01-03T23:00,7.1,85,3.8,1.50,1.50,0.00,61,979.4,100,13.5
0,2024-01-04T00:00,7.0,86,3.8,0.20,0.20,0.00,51,979.0,98,13.6
0,2024-01-04T01:00,7.7,78,3.0,0.10,0.10,0.00,51,978.8,100,22.5
0,2024-01-04T02:00,7.5,82,3.1,0.30,0.30,0.00,51,978.8,99,21.1
0,2024-01-04T03:00,7.4,84,3.8,0.10,0.10,0.00,51,979.0,100,15.9
0,2024-01-04T04:00,7.3,82,3.3,0.20,0.20,0.00,51,979.0,95,17.7
0,2024-01-04T05:00,6.8,83,3.5,0.00,0.00,0.00,3,979.2,100,12.6
0,2024-01-04T06:00,6.6,86,3.4,0.10,0.10,0.00,51,979.5,97,13.2
0,2024-01-04T07:00,6.3,86,2.6,0.00,0.00,0.00,3,979.9,100,15.8
0,2024-01-04T08:00,7.0,85,3.2,0.20,0.20,0.00,51,980.1,100,16.9
0,2024-01-04T09:00,7.1,85,2.9,0.10,0.10,0.00,51,980.5,100,19.6
0,2024-01-04T10:00,7.2,85,2.6,0.10,0.10,0.00,51,980.9,91,23.0
0,2024-01-04T11:00,7.0,86,2.5,0.30,0.30,0.00,51,981.3,69,22.4
0,2024-01-04T12:00,7.5,81,2.3,0.30,0.30,0.00,51,981.4,100,27.0
0,2024-01-04T13:00,7.1,86,2.0,0.80,0.80,0.00,53,982.0,100,26.8
0,2024-01-04T14:00,6.0,90,1.0,0.40,0.40,0.00,51,982.9,100,25.3
0,2024-01-04T15:00,5.2,87,-0.9,0.30,0.30,0.00,51,983.8,100,30.8
0,2024-01-04T16:00,4.3,87,-1.9,0.10,0.10,0.00,51,984.7,100,30.9
0,2024-01-04T17:00,3.6,86,-2.5,0.10,0.10,0.00,51,985.9,100,29.2
0,2024-01-04T18:00,3.0,86,-3.4,0.10,0.10,0.00,51,987.2,100,29.9
0,2024-01-04T19:00,2.7,87,-3.3,0.10,0.10,0.00,51,988.6,100,27.3
0,2024-01-04T20:00,2.1,88,-3.5,0.10,0.10,0.00,51,990.2,100,24.4
0,2024-01-04T21:00,1.1,84,-4.4,0.00,0.00,0.00,3,991.2,100,22.3
0,2024-01-04T22:00,0.4,83,-4.6,0.00,0.00,0.00,2,992.1,73,18.0
0,2024-01-04T23:00,-0.1,83,-4.9,0.00,0.00,0.00,3,992.8,100,15.3
0,2024-01-05T00:00,-0.4,83,-4.9,0.00,0.00,0.00,3,993.6,100,13.5
0,2024-01-05T01:00,-0.3,84,-3.9,0.00,0.00,0.00,3,994.1,100,7.4
0,2024-01-05T02:00,-0.3,84,-3.7,0.00,0.00,0.00,3,994.4,100,5.9
0,2024-01-05T03:00,-0.2,80,-3.3,0.00,0.00,0.00,3,994.4,100,3.7
0,2024-01-05T04:00,-0.2,76,-3.4,0.00,0.00,0.00,3,994.4,100,3.9
0,2024-01-05T05:00,-0.2,73,-3.6,0.00,0.00,0.00,3,994.8,100,4.5
0,2024-01-05T06:00,-0.2,71,-4.3,0.00,0.00,0.00,3,994.5,100,8.7
0,2024-01-05T07:00,-0.2,71,-4.6,0.00,0.00,0.00,3,994.5,100,10.8
0,2024-01-05T08:00,-0.0,71,-4.5,0.00,0.00,0.00,3,994.2,100,11.6
0,2024-01-05T09:00,0.4,72,-4.0,0.00,0.00,0.00,3,994.0,100,12.0
0,2024-01-05T10:00,1.1,72,-3.3,0.00,0.00,0.00,3,994.1,100,12.4
0,2024-01-05T11:00,2.0,72,-2.3,0.00,0.00,0.00,3,993.6,100,12.9
0,2024-01-05T12:00,2.1,76,-2.2,0.10,0.10,0.00,51,992.8,92,13.6
0,2024-01-05T13:00,2.7,82,-1.4,1.20,0.40,0.56,73,992.4,89,13.0
0,2024-01-05T14:00,2.7,86,-1.2,0.00,0.00,0.00,3,991.9,93,12.5
0,2024-01-05T15:00,2.4,88,-1.4,0.00,0.00,0.00,3,991.8,92,12.2
0,2024-01-05T16:00,1.9,91,-1.9,0.00,0.00,0.00,3,991.7,85,11.7
0,2024-01-05T17:00,1.7,93,-2.0,0.00,0.00,0.00,2,991.5,73,11.5
0,2024-01-05T18:00,1.8,94,-1.8,0.00,0.00,0.00,3,991.3,85,11.5
0,2024-01-05T19:00,1.9,95,-1.4,0.00,0.00,0.00,3,991.5,91,9.3
0,2024-01-05T20:00,2.2,95,-1.0,0.00,0.00,0.00,3,991.1,89,9.3
0,2024-01-05T21:00,2.6,94,-0.5,0.00,0.00,0.00,3,990.8,89,9.1
0,2024-01-05T22:00,2.5,94,-0.4,0.00,0.00,0.00,3,990.7,91,7.0
0,2024-01-05T23:00,2.7,95,0.1,0.00,0.00,0.00,2,990.5,56,5.4
0,2024-01-06T00:00,1.9,96,-0.6,0.00,0.00,0.00,3,991.0,100,4.4
0,2024-01-06T01:00,2.3,96,-0.2,0.00,0.00,0.00,3,991.3,100,4.5
0,2024-01-06T02:00,2.3,97,-0.4,0.10,0.10,0.00,51,991.5,90,5.8
0,2024-01-06T03:00,2.3,96,-0.6,0.20,0.20,0.00,51,991.2,90,7.3
0,2024-01-06T04:00,2.0,97,-0.8,0.10,0.10,0.00,51,991.3,100,5.9
0,2024-01-06T05:00,1.9,97,-0.8,0.00,0.00,0.00,3,991.8,100,5.2
0,2024-01-06T06:00,1.9,94,-1.3,0.10,0.10,0.00,51,992.3,100,8.1
0,2024-01-06T07:00,1.5,94,-1.8,0.10,0.10,0.00,51,992.6,100,9.0
0,2024-01-06T08:00,1.5,94,-1.7,0.00,0.00,0.00,3,993.3,100,7.6
0,2024-01-06T09:00,1.5,95,-1.8,0.10,0.10,0.00,51,994.0,100,9.4
0,2024-01-06T10:00,1.6,94,-2.0,0.20,0.20,0.00,51,994.4,100,10.7
0,2024-01-06T11:00,1.8,91,-1.9,0.10,0.10,0.00,51,994.5,100,11.7
0,2024-01-06T12:00,1.7,90,-2.4,0.10,0.10,0.00,51,994.5,100,13.6
0,2024-01-06T13:00,0.4,90,-3.8,0.10,0.10,0.00,51,995.4,100,12.7
0,2024-01-06T14:00,0.2,90,-4.1,0.10,0.00,0.07,71,995.8,100,13.0
0,2024-01-06T15:00,-0.3,90,-4.5,0.10,0.00,0.07,71,996.5,100,12.0
0,2024-01-06T16:00,-0.7,89,-5.0,0.10,0.00,0.07,71,997.0,100,12.8
0,2024-01-06T17:00,-0.9,89,-5.4,0.30,0.00,0.21,73,997.4,100,13.4
0,2024-01-06T18:00,-1.1,88,-5.6,0.30,0.00,0.21,73,997.8,100,13.5
0,2024-01-06T19:00,-1.2,87,-5.7,0.20,0.00,0.14,71,997.9,100,13.5
0,2024-01-06T20:00,-1.2,85,-5.8,0.10,0.00,0.07,71,998.1,100,13.8
0,2024-01-06T21:00,-1.4,82,-6.1,0.00,0.00,0.00,3,998.4,100,14.2
0,2024-01-06T22:00,-1.4,77,-6.5,0.00,0.00,0.00,3,998.6,100,15.5
0,2024-01-06T23:00,-1.6,74,-6.9,0.00,0.00,0.00,3,998.8,100,16.5
